Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.23     0.00   491822     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_M_get_Node_allocator()
  0.00      1.23     0.00   491822     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_get_Node_allocator()
  0.00      1.23     0.00   491822     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_end()
  0.00      1.23     0.00   491822     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, int> >*& std::forward<std::_Rb_tree_node<std::pair<std::string const, int> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<std::string const, int> >*&>::type&)
  0.00      1.23     0.00   445376     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::end()
  0.00      1.23     0.00   445375     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int> >::operator->() const
  0.00      1.23     0.00   445375     0.00     0.00  std::map<std::string, int, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::find(std::string const&)
  0.00      1.23     0.00   445375     0.00     0.00  std::pair<std::string const, int>::pair<std::string&, int&, void>(std::string&, int&)
  0.00      1.23     0.00   445375     0.00     0.00  std::pair<std::string const, int>* std::__addressof<std::pair<std::string const, int> >(std::pair<std::string const, int>&)
  0.00      1.23     0.00   445375     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      1.23     0.00   421237     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::begin()
  0.00      1.23     0.00   421223     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int> >::operator--()
  0.00      1.23     0.00   245912     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, int> >::operator!=(std::_Rb_tree_iterator<std::pair<std::string const, int> > const&) const
  0.00      1.23     0.00   245912     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_M_begin()
